'ID','IMF','pH'
71963,2.52200455284349,5.42498868725978
71964,2.9019828696847,5.36348631797284
71965,2.45855949688871,5.21079235603589
71966,3.15352592597118,5.34764718762096
71967,2.6401994920089,5.56543863776313
71968,2.05489714158624,5.4006167832607
71970,1.82719211817445,5.49141714104623
71971,2.56547562140536,5.15158061348422
71972,4.09552809852052,5.56660240941684
71974,3.60709542195394,5.55606400474236
71976,3.36390312684632,5.23620096327244
71977,1.09217233770363,5.70234293021821
71978,2.9768069838674,5.20998302515052
71979,1.82977268468769,5.38796264166857
71980,2.54068568778875,5.48611614874112
71981,1.63285575036802,5.47842869985802
71982,3.34425019042587,5.09745910050625
71984,4.0039513107163,5.54601889295001
71985,2.20008124353476,5.6266499134454
71989,2.96968551245021,5.71853539417266
71991,4.80589326159631,5.48537234557129
71992,2.30671316995143,5.75484492709995
71994,1.37798687403162,5.36114528342966
71995,3.45393929444626,5.16382998519774
71996,1.55381664284306,5.25633209308993
71997,1.3081816964626,5.6154497285793
71998,1.27865401717261,5.29760155933736
71999,2.14675456557782,5.48612455270159
72000,2.13179026668698,5.4081750781186
72001,3.7967627118489,5.23096567984458
72002,1.86977990406192,5.26214918565926
72003,1.96839310825209,5.1256846024742
72004,3.80377622479389,5.7608195211453
72005,2.46093320042396,5.35548622784691
72006,2.18470532021471,5.46935847644564
72007,3.0989363802223,5.27148252930425
